Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"136","Nestle India Limited","NESTLEIND","1,216","2.07%","14,60,974",""
"137","Berger Paints (i) Limited","BERGEPAINT","431","2.07%","2,07,641",""
"138","Adani Power Limited","ADANIPOWER","163.26","2.06%","12,74,64,037",""
"139","Avanti Feeds Limited","AVANTIFEED","1,238.8","2.05%","9,02,070",""
"140","Lodha Developers Ltd","LODHA","710.25","2.04%","77,60,768",""
"141","ACME Solar Holdings Ltd","ACMESOLAR","280.25","2.04%","23,79,961",""
"142","Hindustan Zinc Limited","HINDZINC","526.05","2%","49,64,299",""
"143","Suzlon Energy Limited","SUZLON","41.59","1.99%","6,66,48,727",""
"144","Amber Enterprises India Ltd","AMBER","6,405","1.97%","3,31,960",""
"145","Inventurus Knowledge Solutions Ltd","IKS","1,369.3","1.97%","1,11,376",""
"146","The Jammu & Kashmir Bank Limited","J&KBANK","115.8","1.97%","50,86,673",""
"147","Grasim Industries Limited","GRASIM","2,614.4","1.96%","7,20,478",""
"148","Bajaj Finserv Limited","BAJAJFINSV","1,672.3","1.93%","12,15,027",""
"149","The Phoenix Mills Limited","PHOENIXLTD","1,554.7","1.93%","3,69,830",""
"150","Icici Prudential Life Insurance Company Limited","ICICIPRULI","513.1","1.93%","8,23,182",""
"151","Punjab National Bank Ltd","PNB","106.5","1.93%","2,13,48,893",""
"152","Central Bank Of India Ltd","CENTRALBK","33.93","1.92%","65,31,958",""
"153","Aster DM Healthcare Ltd","ASTERDM","670.6","1.9%","3,43,386",""
"154","Uco Bank Ltd","UCOBANK","24.35","1.88%","92,71,908",""
"155","Welspun Corp Limited","WELCORP","862.6","1.86%","5,09,781",""
"156","Kei Industries Limited","KEI","4,123.1","1.85%","2,57,078",""
"157","Hero Motocorp Limited","HEROMOTOCO","5,103.5","1.84%","3,48,536",""
"158","Kirloskar Brothers Limited","KIRLOSBROS","1,429.8","1.84%","62,956",""
"159","Shipping Corporation Of India Limited","SCI","232.76","1.84%","25,08,916",""
"160","Beml Limited","BEML","1,509.6","1.83%","2,51,590",""
"161","Jindal Saw Limited","JINDALSAW","195.3","1.83%","20,34,643",""
"162","General Insurance Corporation of India Ltd","GICRE","385.45","1.82%","6,46,163",""
"163","Td Power Systems Limited","TDPOWERSYS","879","1.81%","11,79,981",""
"164","Ntpc Limited","NTPC","366.1","1.79%","1,15,34,034",""
"165","Power Grid Corporation Of India Limited","POWERGRID","295.15","1.79%","92,91,741",""
"166","Dr. Lal Path Labs Ltd.","LALPATHLAB","1,352.3","1.78%","3,28,697",""
"167","Jubilant Pharmova Ltd","JUBLPHARMA","854.25","1.78%","2,57,972",""
"168","Hindustan Aeronautics Ltd","HAL","3,752.1","1.77%","11,30,371",""
"169","Rainbow Childrens Medicare Ltd","RAINBOW","1,169.9","1.77%","86,302",""
"170","Jm Financial Limited","JMFINANCIL","122.28","1.77%","29,09,776",""
"171","AU Small Finance Bank Ltd","AUBANK","883.55","1.76%","17,72,253",""
"172","Inox Wind Limited","INOXWIND","80.95","1.76%","1,18,17,006",""
"173","Escorts Kubota Ltd","ESCORTS","2,893.3","1.74%","1,52,950",""
"174","KFin Technologies Ltd","KFINTECH","919.75","1.73%","5,05,555",""
"175","Britannia Industries Limited","BRITANNIA","5,535","1.71%","2,28,390",""
